gen_capacity,generator,type,var_cost
660.0,COAL-NEW-1,coal,2000.0
660.0,COAL-NEW-2,coal,2001.0
660.0,COAL-NEW-3,coal,2002.0
660.0,COAL-NEW-4,coal,2003.0
660.0,COAL-NEW-5,coal,2004.0
660.0,COAL-NEW-6,coal,2005.0
660.0,COAL-NEW-7,coal,2006.0
660.0,COAL-NEW-8,coal,2007.0
660.0,COAL-NEW-9,coal,2008.0
660.0,COAL-NEW-10,coal,2009.0
660.0,COAL-NEW-11,coal,2010.0
660.0,COAL-NEW-12,coal,2011.0
660.0,COAL-NEW-13,coal,2012.0
660.0,COAL-NEW-14,coal,2013.0
660.0,COAL-NEW-15,coal,2014.0
660.0,COAL-NEW-16,coal,2015.0
660.0,COAL-NEW-17,coal,2016.0
660.0,COAL-NEW-18,coal,2017.0
660.0,COAL-NEW-19,coal,2018.0
660.0,COAL-NEW-20,coal,2019.0
660.0,COAL-NEW-21,coal,2020.0
660.0,COAL-NEW-22,coal,2021.0
660.0,COAL-NEW-23,coal,2022.0
660.0,COAL-NEW-24,coal,2023.0
660.0,COAL-NEW-25,coal,2024.0
660.0,COAL-NEW-26,coal,2025.0
660.0,COAL-NEW-27,coal,2026.0
660.0,COAL-NEW-28,coal,2027.0
660.0,COAL-NEW-29,coal,2028.0
660.0,COAL-NEW-30,coal,2029.0
660.0,COAL-NEW-31,coal,2030.0
660.0,COAL-NEW-32,coal,2031.0
660.0,COAL-NEW-33,coal,2032.0
660.0,COAL-NEW-34,coal,2033.0
660.0,COAL-NEW-35,coal,2034.0
660.0,COAL-NEW-36,coal,2035.0
660.0,COAL-NEW-37,coal,2036.0
660.0,COAL-NEW-38,coal,2037.0
660.0,COAL-NEW-39,coal,2038.0
660.0,COAL-NEW-40,coal,2039.0
660.0,COAL-NEW-41,coal,2040.0
660.0,COAL-NEW-42,coal,2041.0
660.0,COAL-NEW-43,coal,2042.0
660.0,COAL-NEW-44,coal,2043.0
660.0,COAL-NEW-45,coal,2044.0
660.0,COAL-NEW-46,coal,2045.0
660.0,COAL-NEW-47,coal,2046.0
660.0,COAL-NEW-48,coal,2047.0
660.0,COAL-NEW-49,coal,2048.0
660.0,COAL-NEW-50,coal,2049.0
660.0,COAL-NEW-51,coal,2050.0
660.0,COAL-NEW-52,coal,2051.0
660.0,COAL-NEW-53,coal,2052.0
660.0,COAL-NEW-54,coal,2053.0
660.0,COAL-NEW-55,coal,2054.0
660.0,COAL-NEW-56,coal,2055.0
660.0,COAL-NEW-57,coal,2056.0
660.0,COAL-NEW-58,coal,2057.0
660.0,COAL-NEW-59,coal,2058.0
660.0,COAL-NEW-60,coal,2059.0
660.0,COAL-NEW-61,coal,2060.0
660.0,COAL-NEW-62,coal,2061.0
660.0,COAL-NEW-63,coal,2062.0
660.0,COAL-NEW-64,coal,2063.0
660.0,COAL-NEW-65,coal,2064.0
660.0,COAL-NEW-66,coal,2065.0
660.0,COAL-NEW-67,coal,2066.0
660.0,COAL-NEW-68,coal,2067.0
660.0,COAL-NEW-69,coal,2068.0
660.0,COAL-NEW-70,coal,2069.0
660.0,COAL-NEW-71,coal,2070.0
660.0,COAL-NEW-72,coal,2071.0
660.0,COAL-NEW-73,coal,2072.0
660.0,COAL-NEW-74,coal,2073.0
660.0,COAL-NEW-75,coal,2074.0
660.0,COAL-NEW-76,coal,2075.0
660.0,COAL-NEW-77,coal,2076.0
660.0,COAL-NEW-78,coal,2077.0
660.0,COAL-NEW-79,coal,2078.0
660.0,COAL-NEW-80,coal,2079.0
660.0,COAL-NEW-81,coal,2080.0
660.0,COAL-NEW-82,coal,2081.0
660.0,COAL-NEW-83,coal,2082.0
660.0,COAL-NEW-84,coal,2083.0
660.0,COAL-NEW-85,coal,2084.0
660.0,COAL-NEW-86,coal,2085.0
660.0,COAL-NEW-87,coal,2086.0
660.0,COAL-NEW-88,coal,2087.0
660.0,COAL-NEW-89,coal,2088.0
660.0,COAL-NEW-90,coal,2089.0
660.0,COAL-NEW-91,coal,2090.0
660.0,COAL-NEW-92,coal,2091.0
660.0,COAL-NEW-93,coal,2092.0
660.0,COAL-NEW-94,coal,2093.0
660.0,COAL-NEW-95,coal,2094.0
660.0,COAL-NEW-96,coal,2095.0
660.0,COAL-NEW-97,coal,2096.0
660.0,COAL-NEW-98,coal,2097.0
660.0,COAL-NEW-99,coal,2098.0
660.0,COAL-NEW-100,coal,2099.0
660.0,COAL-NEW-101,coal,2100.0
660.0,COAL-NEW-102,coal,2101.0
660.0,COAL-NEW-103,coal,2102.0
660.0,COAL-NEW-104,coal,2103.0
660.0,COAL-NEW-105,coal,2104.0
660.0,COAL-NEW-106,coal,2105.0
660.0,COAL-NEW-107,coal,2106.0
660.0,COAL-NEW-108,coal,2107.0
660.0,COAL-NEW-109,coal,2108.0
660.0,COAL-NEW-110,coal,2109.0
660.0,COAL-NEW-111,coal,2110.0
660.0,COAL-NEW-112,coal,2111.0
660.0,COAL-NEW-113,coal,2112.0
660.0,COAL-NEW-114,coal,2113.0
660.0,COAL-NEW-115,coal,2114.0
660.0,COAL-NEW-116,coal,2115.0
660.0,COAL-NEW-117,coal,2116.0
660.0,COAL-NEW-118,coal,2117.0
